"filename", "language", "PHP", "MS SQL", "XML", "JavaScript", "Markdown", "CSS", "JSON", "YAML", "HTML", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\chats\chatslive.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\notificaciones\NotificacionesEmpleos.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\notificaciones\actualizarAlertas.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\notificaciones\alertas.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 76
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\notificaciones\notificar-reclutador-perfil-actualizado.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46, 211
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Prueba.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\actualizar-cuenta.php", "PHP", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 175
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\actualizar-password.php", "PHP", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37, 183
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\alertas.php", "PHP", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 79, 299
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\chat.php", "PHP", 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 104, 529
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\chats-empresas.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 105
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\cv-email.php", "PHP", 427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100, 540
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\cv-pdf.php", "PHP", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79, 340
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\cv.php", "PHP", 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 734
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\documentos-usuario.php", "PHP", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79, 278
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\documentos.php", "PHP", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75, 334
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\educacion-academico.php", "PHP", 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 233, 691
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\educacion.php", "PHP", 580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 215, 799
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\eliminar-cuenta.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 150
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\empleo.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 122
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\empleos.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 203
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\empresa-trabajos.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 152
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\empresa.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 286
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\empresas.php", "PHP", 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107, 349
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\experiencia - copia.php", "PHP", 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 109, 428
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\experiencia-laboral.php", "PHP", 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 192, 664
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\experiencia.php", "PHP", 576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 178, 757
